title,user,date,rating,review,helpful
" Danger Zone
",thomasgrenier,27 May 2022,1,"I do not understand the raves. This is a
tired, paint-by-numbers rehash of the
original. This movie has no texture, no soul.The writing is terrible, and so is the
directing. The actors are phoning it in. A
cash grab if I ever saw one.

                    138 out of 597 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",138 out of 597 found this helpful.
" Paid for the whole seat, but only used the edge
",pucciarello,28 May 2022,9,"I'll preface my review by first stating that I had mediocre expectations coming in. It's very hard to make a successful sequel to an older classic movie, but I was immediately entertained from beginning to end. I won't give any spoilers, but I'll list my biggest takeaways from the movie.1. The flying scenes were incredible and had me on the edge of my seat.2. Tom cruise and miles teller were awesome.3. I want to quit my job and become a fighter pilot now.This movie is definitely worth paying for imax tickets and I suggest you get a big water bottle cause you will be sweating profusely as Maverick cuts through the sky like butter.

                    500 out of 583 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",500 out of 583 found this helpful.
" Seriously?
",claire_is,28 May 2022,1,"Poor acting, cringy one liners. I was bored throughout!I had high hopes for this one but unfortunately it failed to impress. Didn't even come close. Original was so much better!

                    127 out of 515 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",127 out of 515 found this helpful.
" A perfect gift to all Top Gun fans
",DVR_Brale,4 June 2022,10,"There are so many references to the original that I was brought to childhood when I had first seen it.The best cinematic experience of my life and a perfect gift to all Top Gun fans.

                    375 out of 469 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",375 out of 469 found this helpful.
" Cliched garbage
",kristoferthompson,27 May 2022,1,"Just as dull, crap, and boring as the first piece of rubbish.Another tom cruise snooze fest. Fails to get off the ground.Sadly no hilarious death scene.Definitely not worth watching. Should have stayed unmade.",96 out of 446 found this helpful.
" Tom Cruise really knows how a blockbuster film is made.
",cruise01,29 May 2022,10,5 out of 5 stars.Top Gun Maverick is an awesome action film that lives up to the original film and way superior as well. It is one awesome thrill ride that will have the audiences gasping for air with its exhilarating aerial combat scenes.The plot is great. It continues with Maverick (Tom Cruise) being assigned to train new pilots before they go off on a challenging mission. Rooster (Miles Teller) is among the recruits which Maverick tries to reconnect after the incident with his father in the previous film.The plot tries to build an emotional powerhouse as Maverick are neck to neck about the past. And Maverick trying to get these pilots prepared for there first combat.The script is great and fast moving. Director Joseph Kosinski nails making a blockbuster film. Making the action sequences cinematic. And big and loud. Majority of the action scenes are practical and realistic which makes it better. The climatic sequence with the pilots on the mission was awesome and thrilling. Definitely worth seeing this film on the biggest screen with great sound quality.The cast ensemble is great. Tom Cruise nails making a big action film. Cant wait to see what he does with his next films. Miles Teller also was good. Jennifer Connelly playing Mavericks past love interest. The new additions were all great as well. The music score was awesome.The opening sequence gives you the chills with its similiarities to the first.Top Gun Maverick is one of the best films this year. Amazing action sequences that is cinematic and big. And big film that deserves to be seen in theatres.,324 out of 426 found this helpful.
" Talk to me Goose
",kosmasp,30 May 2022,10,"It makes more than sense to have seen the first Maverick movie. I am writing this with that in mind. Actually I would even argue that the rating also had something to do with it. Watching it on the big screen also helps a lot of course. My summary line is actually a quote from the movie. Not just the first one, but one that is being said here too. And you will get the full impact of that sentence, of those words, if you know what they mean and why they are said.There are quite a few connections to the first movie, but there is also nods to real life. Especially with Val Kilmer in mind. And all is serving the story - even the real life struggle Kilmer has, that gets woven into the character Iceman. So there are two of the big stars of the first one name checked - what about Kelly McGillis though? Well don't hold your breath (it is being taken away, sorry for the pun)! She is not returning. Now you could be mad at the movie for that - or you could salute it for bringing ""back"" a character that was only name checked in the first movie - and being played by the wonderful Jennifer Connely.Now is she as beautiful as ever? Yes. But she is also close to the age of Tom Cruise that some other names could have been. Of course do not overthink the age thing, because you'd find that her real age would have been inappropriate during the time of the first movie ... just saying. Again: do not overthink it at all.Those things out of the way, we get introduced to a whole bunch of new characters. There probably is not as much ... well male on male energy here as there was in the first one. Even in the dialog - you just feel it. Don't give me that look (and yes I know it is the only one you've got - especially when I bring the puns)! There is more than a coherent story - and the movie takes its time to tell it. There is plenty of action too.There is also technical talk that I didn't totally understand. But it is not necessary to get the movie or enjoy it. And then there is the ending - and what a perfect ending this has. So much so, that I decided it deserves the 10 rating I finally gave it. It may copy many things from the first movie (call it homage), especially the intro but also some story beats, but it still stands ... or rather flies on its own! Just buckle your seatbelt, because you may get dizzy.First time watching I could spot the music cues from the first one, but there were also some fresh elements to it. If I didn't know Lady Gaga was at least partly (big parts if I understood correctly) responsible for the soundtrack, I wouldn't have guessed myself to be honest. As it is, one of the biggest highlights in cinemas this year - the waiting was worth it. If you feel the need .. the need for speed - your need will be satisfied here (or rather in cinemas). Even being able to predict story points will not take away anything from the experience you can have with this. Enjoy.",312 out of 425 found this helpful.
" we get what we hoped for
",ferguson-6,24 May 2022,8,"Greetings again from the darkness. Heavy on melodrama. Heavy on cockiness. Heavy on fighter jets. Heavy on nostalgia. Check. Everything that we want and expect in the long-awaited sequel to the 1986 film is present. It's a movie spectacle featuring one of the few remaining bonafide movie stars front and center, as well as breathtaking action sequences that beg to be experienced on the largest screen possible and with the highest quality audio available. Jim Cash and Jack Epps Jr are credited for the characters, while the new screenplay involved collaboration from Ehren Kruger, Eric Warren Singer, Christopher McQuarrie, Peter Craig, and Justin Marks. The original film's director, Tony Scott, passed away in 2012 at age 68, and Joseph Kosinski (OBLIVION, 2013, also starring Tom Cruise) takes the helm.Callbacks to the original are plentiful, and we get our first in the opening title card - the same one used in 1986 to explain the ""Top Gun"" training center. Of course, there is one reason we are here, and that's Tom Cruise. He was only 24 years old in the original, and now lives and exudes the swagger of Pete ""Maverick"" Mitchell. When the film opens, Maverick is an extreme test pilot pushing himself and an experimental aircraft to Mach 10, and yes, this goes against the wishes and order of the program's Rear Admiral in charge played by a curmudgeonly Ed Harris. It's a shame that Harris only has a couple of brief scenes, but he is the one that informs Maverick of his new orders to return to Top Gun immediately. His new commanding officer is Beau ""Cyclone"" Simpson (Jon Hamm), who is none too happy about Maverick being back. However, the order came directly from Maverick's old nemesis/friend, Tom ""Iceman"" Kazansky (Val Kilmer), now a highly decorated Admiral in failing health.Maverick is disappointed to learn that he has been brought in, not to fly, but to teach a group of Top Gun graduates how to execute an extraordinarily dangerous mission involving extended high speeds at a low altitude, dropping bombs on the uranium enhancement plant protected by a mountain range, and then immediately elevating to a nearly impossible level to avoid a crash - all while being targeted by the enemies radar and defense system. The enemy goes unnamed so that the movie can remain timeless and avoid any type of political backlash. Plus, this film is about thrills and action, not a political statement.Being back means Maverick crosses paths with Penny Benjamin (Jennifer Connelly), who was mentioned briefly in the first film as an Admiral's daughter. She now owns the local bar, has a daughter, races sailboats, and still carries a bit of a torch for Maverick, although she's quick to bust his chops whenever possible. However, it's the pilots he's charged with training that cause the biggest issue for Maverick. One of them is Bradley ""Rooster"" Bradshaw. Rooster is the son of ""Goose"" (played in the original by Anthony Edwards), who flew with Maverick as his Radio Intercept Officer (RIO) and died in an ejection mishap. Rooster holds Maverick responsible and Maverick is still haunted by his friend's death. Goose is seen in photos and via flashbacks, and Rooster emulates his dad at the bar's piano. The conflict between Rooster and Maverick adds complications to the mission - and a bit of melodrama to the entire film.The newbies (and the Navy) consider Maverick a relic of a bygone era, so of course, 'instructor' Maverick takes to the sky to strut his pilot stuff. In addition to Rooster, the standouts in the new group include Phoenix (Monica Barbaro), Bob (Lewis Pullman), and Hangman (Glen Powell), the latter of whom, along with Rooster, tries to recreate that symbiotic relationship we originally saw with Iceman vs Maverick. Teller and Powell are both solid, but this aspect never really clicks like the Rooster vs Maverick piece.We can't help but notice that the dramatic elements seem to be more of a focus this time around. The biggest impact comes from the scene where Mavericks visits Admiral Kazansky (Iceman) at his home. Despite his well-known physical limitations, Val Kilmer delivers a memorable performance, and the two actors seem to relish this opportunity. The situation is handled with grace, and we are appreciative of Cruise standing firm in his demand for Kilmer to appear in the film. As for the love story between Penny and Maverick, it had to be a bit frustrating for Ms. Connelly to work so hard on an underwritten role, while Jon Hamm's constant furrowed brow and barking leaves him coming across as little more than jealous of Maverick.Obviously it's the fighter jets and aerial sequences that folks will come for, and spectacular and exhilarating are the best words I can find to describe what we see. I was fortunate to see his in IMAX, and if you have one near you, it's certainly the preferred viewing format. Thanks to the Navy and the training and equipment received by the cast, there is an authentic feel that's almost throwback in this day and age of CGI. We sense the speed and gravity pulls, even if we are never in peril. The aircraft carrier sequences are mind-boggling, though it's jets in the air that provide the energy jolt.Wise-cracking and heartstring-tugging moments fill the screen, and you can relax knowing Kenny Loggins' ""Danger Zone"" is back, while Berlin is thankfully not. Sand volleyball has been replaced by some semblance of shirtless and sweaty beach football as a team-builder, and yes, we get the patented Tom Cruise sprints - three times: on a treadmill, during beach football, and in a forest. The familiar sounds of Harold Faltermeyer's original score are back, this time enhanced by Hans Zimmer and an ending song by Lady Gaga. Those from the original who are absent this time are the great Tom Skerritt, James Tolkan, Kelly McGillis, and Meg Ryan (whose character is mentioned as having passed away). Producer Jerry Bruckheimer is back, though his partner on the original, Don Simpson, died in 1996 at age 52. Deserving of kudos are cinematographer Claudio Miranda, film editor Eddie Hamilton, and those involved with sound, visual effects, and music. For those feeling the need for speed, this sequel delivers; just embrace the cliches and familiarity, and predictability.Only in theaters (as it should be) Friday May 27, 2022.",275 out of 384 found this helpful.
" Misses the Mark Completely
",JayhawkJuJu,27 May 2022,1,"The first movie was pretty terrible but I absolutely loved it. And when Goose died, I cried. I still cry at that scene.As for the sequel? I felt nothing. Absolutely nothing. First you get to sit through Tom Cruise's hokey ""commercial"" at the beginning saying he did this for the fans. Was this to rehab his image? He's so creepy.I'm not sure what the problem was with Top Gun: Maverick. Lots of talky drama and Military politics. Blech. You have Jon Hamm playing a meanie admiral bureaucrat the same way he played Don Draper. Hamm shows a serious lack of acting range. The 2nd generation fighter pilots checked all the boxes as expected: the latina, the black guy, the nerd, the arrogant jerk. A few more thrown in for good measure.The first top gun was fresh and new. Perhaps the writers/directors/producers underestimated what needed to be done to make the sequel work? Their audience has since seen 35 years of schlock and formulaic and PC screenplays. What seemed novel in 1986 looks like laziness and boredom and stupidity in 2022.The only stand outs were two ladies. Jennifer Connelly as the Bond girl (I mean, Maverick's girl)...stood out by a mile. I've never understood why she hasn't been in more movies. And Jean Louisa Kelly makes a cameo as Iceman's wife. Both exuded warmth and depth. JLK was on the screen for maybe 3 minutes and she made more impact than any of the fighter pilots who monopolized all the other scenes. (ironically she stole the show in Mr Holland's Opus too. She's been doing it her whole career)Miles Teller isn't a bad actor, but in this movie, he's not likeable. At all. I didn't care about him at all. Goose was the heart and soul of the first movie. His son? The opposite. When you try to center a whole movie around an entitled, cranky, chip-on-his-shoulder son, you have Top Gun: Maverick.The only rewarding part was when Maverick humiliates the baby fighter pilots who think they have nothing to learn. He smashes their GenZ arrogance into a zillion pieces and it was glorious.",92 out of 382 found this helpful.
" Take note Hollywood this is how to do a blockbuster film.
",rockingruby,29 May 2022,9,"I appreciate the first film but never been a massive fan of it so I was not expecting much from the sequel. I was surprised how good this movie was, it's terrific. Also was great to see no woke nonsense and strong characters, thank you Tom Cruise.",291 out of 380 found this helpful.
" This Topped and Outgunned the Original
",thesar-2,29 May 2022,9,"See? This is why I LOVE Tom Cruise Post-Mid-1992. Aside from the RARE misfire, cough, cough, The Mummy, when Tom Cruise wants a movie to be better than perfect, he pushes it past Mach 10.The first half of this adventure made me feel this is the perfect and worthy sequel to the original. AND THEN...the second half kicked in thoroughly SURPASSING the original by a landslide. Now, it certainly will not have the impact on the 2020s as the original did for the 1980s - that's lightning that can't be caught twice. But, rest assured: this simultaneously saluted the 1986 classic and then told it to hold its beer.Maverick never changed. And just went he was about to use up his seemingly endless supply of luck, he got recruited back into the ""Top Gun"" division to get the elite ready for a, dare I?, almost Impossible Mission. Oh, and there's a ton of drama and obligatory dick-measuring thrown in.What matters most is: the setup for the film takes place perfectly in the first act giving us clear direction (something the original lacked,) and gave us goals with character building to anticipate and cheer on. When the climax began, it's WAS exactly what I wanted, until it went on another 15 minutes to make the movie SOAR beyond my expectations.While the acting was superb from the Veterans, it wasn't all that great from the fresh new recruits. That was to be expected. Much like their characters in the movie, they're learning to be the best. And they may someday.The movie's music is not as great as the original, but the movie used it sparingly, correctly and with some great new tracks. The original knew it had a killer soundtrack and overdid it. This one showed the restraint it needed.If you loved the first one, there's virtually no way you wouldn't love this even more. It's absolutely perfect for those who were there buying tickets for the original and it's also great for newbies so they can learn to appreciate the classics and understand: with age comes experience and that should never be mocked. It should be learned from and used to progress.And to Top it all off, all of the practical stunts and aerial shots made 10x more sense and easier to follow this time around. I just rewatched the original last night for only the second time (the first being on home video in 2015) and my head was literally spinning to follow the action in the sky. Here, they make sure no one is left in the dust.I can't recommend this movie enough and to see it in theatres, preferably a Dolby-certified one. Don't wait for Paramount+ to pick this up (like I normally would.) Go see this now on the big screen as it should be seen and don't miss out like I did with the original in 1986.***Final Thoughts: I *just* made my Top Ten Tom Cruise movie list, time to update it:1. A Few Good Men
2. Mission: Impossible - Fallout
3. Edge of Tomorrow
4. Mission: Impossible - Rogue Nation
5. Mission: Impossible - Ghost Protocol
6. Top Gun: Maverick
7. Collateral
8. Jerry Maguire
9. Knight and Day
10. Mission: Impossible IIIHonorable Mentions:11. Top Gun
12. Oblivion
13. The Firm
14. Interview with the Vampire
15. Rain Man
16. Vanilla Sky.",280 out of 380 found this helpful.
" A CONTENDER FOR MOVIE OF THE YEAR. WHAT AN EXPERIENCE! 🎥🍿🛫
",DoNotComeToTheCinemaDepressed,25 May 2022,10,"Just Saw This In IMAX and guys what an experience it was.Components of this Movie-1. Firstly what a cast! EVERY SINGLE CHARACTER seemed like they were having a Great Time Acting in this movie. INCLUDING the serious minded Admirals. Great Performances all around.2. Every Scene flows so well. The time flew by.3. Many of the Jokes Landed Strongly throughout the Movie with the audience I was with. Especially the ""You Told Me Not to Think"" Scene. 😂🤣4. The Visuals of the Fighter Jet Scenes were Astonishing. They looked so good.5. The Story was good enough, on top of that, the suspense was built up throughout towards the Actual Mission. With The Training Missions and Different Conundrums the Team Faced.Overall, What A Movie and Going Further, What an Experience it was.",251 out of 359 found this helpful.
" A totally unnecessary monstrosity of movie
",schade-7,29 May 2022,1,"I usually try to avoid those American heroic self praising movies, but watched it while there was nothing better to watch this weekend. The plot is simple; the bad Iranians dare to build an uranium enriching plant, and the good American Air Force (we have the best fighter pilots in the world) destroying the plant.The movie itself had the usual cheesy side story of hero meets old flame and falls in love again.This were 2,5h of utter boredom. A movie as unnecessary as the plague.",93 out of 343 found this helpful.
" An Unpopular Opinion: Overrated, Overhyped and Aimless
",zac-04879,15 June 2022,5,"The new, acclaimed and horribly popular Top Gun sequel is just the same boring blockbuster with the latest special effects to appeal to the standards these days. The cinemas will be absolutely packed and the movie will keep striking hits at the box office, but it's just Tom Cruise returning for another 2-hour round of exciting dogfights, poor story and bad pacing.There is absolutely nothing special about Top Gun: Maverick; it's just a pointless waste of time, especially considering its 1986 predecessor was more even more decent than this movie is. It'll definitely offer big audiences who lived through the 80s with their powerful levels of nostalgia, just like Scream fans would've received a nice touch from the new Scream, which is perfectly reasonable.This film actually lives with some pretty good direction, admirable cinematography, emotional connections and tamer content, but that doesn't overlap how it turned out. In fact, those are the only perks throughout this movie. The story is overlong and very boring to watch, just after being predictable and filled with attempted elements that just don't work out. Tom Cruise and the entire cast is tiring to watch and the writing is terrible.If you liked this review, check out the full review and other reviews at aussieboyreviews.",193 out of 338 found this helpful.
" For the braindead
",alexpkimel,10 June 2022,1,"Shallow romance, shallow character work, extremely predictable, how did Tom Cruise even survive at the start, literally no stakes, mission is extremely vague, no one who worked on the film clearly has no understanding of planes and this is coming from an actual pilot. I hate this movie and everyone who liked it.

                    118 out of 332 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",118 out of 332 found this helpful.
" The most feel-good action movie in recent times.
",Prashast_Singh,28 May 2022,10,"Having loved Top Gun, I clearly wasn't going to miss Top Gun: Maverick, and also being a fan of Tom Cruise, I knew the best place to watch it would be the big screen. I totally enjoyed the film as I watched it with a helping of popcorn. There were moments where I felt excited, emotional and even laughed along with the other viewers. It delivers light, simple and sweet entertainment in a delicious mix of action, drama, some romance and humor in a delightful manner.Tom Cruise shines in his performance where he is required to display a good range of emotions and has a good chemistry with Jennifer Connelly, while also impressing us in the action sequences as he always does. Speak of which, the action is very beautifully executed as well as filmed. Every time the jets turned, I felt like my head moved along in the same direction. This effect is repeated multiple times and ends up immersing the viewer into the thrill of the action. It's very clean and neatly done, and never violent at all. The film has no adult content, due to which you can watch it with your families.The music and score are terrific, and the cinematography is another major plus. Some might find the initial few acts a little slow, but the action sequences completely steal the show, especially in the lengthy and spellbinding final act. The editing is top notch, as the film never feels long or stretched. I was actually surprised how short it felt, and in a good way. Top Gun: Maverick is a very feel-good action movie with realistic action and emotions to deliver an experience of a lifetime. If you enjoyed Top Gun, chances are you will find yourself loving this film even more, for Cruise once again proves he's the man to look for when quality action is what viewers crave. Must watch on the big screen. Period.",237 out of 326 found this helpful.
" I just witnessed history
",MatthewMichaelHoffman,25 May 2022,10,"SCORE: 10/10I actually feel speechless. That was one of the most amazing things I have seen in my life and I got to see it 3 days early in XD. Wow. I feel like that changed the way movies will be made forever. It was the perfect blend of old and new, with absolutely incredible audio and visuals and some of the best storytelling I've ever seen in a movie. I just witnessed history.There were multiple points in which the movie could've ended and I would've been satisfied, but it just kept getting better and better and better. Maverick saves Rooster and then Rooster saves Maverick and then they team up to escape just for Hangman to come save them. I was on the edge of my seat, emotionally invested, and inspired by the performances of all involved. But, Tom Cruise, Miles Teller, and Glen Powell stole the show.Could they have picked a better Rooster? Miles Teller was a spitting image of Goose and gave the performance of a lifetime. You could feel his pain and you could feel his struggle and how much everything meant to him. It was paired perfectly with Hangman's character, who was executed without flaw. That's what this movie was to me. Flawless.But this last part is for Tom Cruise. You can't tell me that man is almost 60. I won't believe you. His energy and charisma is what truly carried this film to a place in movie history. Hitting Mach 10, continuing to go after he hit Mach 10, going through the course in 2 minutes and 15 seconds. No matter what was thrown his way, he found a way to exceed expectations and teach everyone lessons along the way. His scene with Val Kilmer was so special. ""It's time to let go"". His struggle with how to handle Rooster being explained that his mother's dying wish was for him to convince Rooster not to take after his dad was powerful. I laughed at the many moments of perfectly timed humor, I was sucked in during the moments of breath-taking action, and I cried during every emotional moment this film had to offer.",221 out of 325 found this helpful.
